x0000,y0000
0,-0.001623036846,
1,-0.001532337728,
2,-0.00131275039,
3,-0.001541885004,
4,-0.001541885004,
5,-0.001508469539,
6,-0.001498922264,
7,-0.001408223146,
8,-0.00144163861,
9,-0.001513243177,
10,-0.001350939492,
11,-0.001518016815,
12,-0.001766245979,
13,-0.001370034043,
14,-0.001432091335,
15,-0.001436864972,
16,-0.001599168657,
17,-0.001503695901,
18,-0.001642131397,
19,-0.001828303271,
20,-0.001646905035,
21,-0.001537111366,
22,-0.00144163861,
23,-0.001284108563,
24,-0.001580074106,
25,-0.001494148626,
26,-0.001584847744,
27,-0.001508469539,
28,-0.001236372186,
29,-0.001799661444,
30,-0.001408223146,
31,-0.001632584121,
32,-0.001494148626,
33,-0.001494148626,
34,-0.001393902232,
35,-0.001637357759,
36,-0.001584847744,
37,-0.001637357759,
38,-0.001503695901,
39,-0.001599168657,
40,-0.001589621381,
41,-0.00148460135,
42,-0.001532337728,
43,-0.001007237572,
44,-0.001632584121,
45,-0.001594395019,
46,-0.001384354957,
47,-0.001589621381,
48,-0.001627810484,
49,-0.001255466737,
50,-0.00148460135,
51,-0.00144163861,
52,-0.001327071303,
53,-0.001341392217,
54,-0.00161348957,
55,-0.001665999586,
56,-0.001422544059,
57,-0.001360486768,
58,-0.001284108563,
59,-0.001370034043,
60,-0.001503695901,
61,-0.001713735964,
62,-0.001293655839,
63,-0.001599168657,
64,-0.001374807681,
65,-0.001560979555,
66,-0.001661225948,
67,-0.00161348957,
68,-0.001708962326,
69,-0.001327071303,
70,-0.001370034043,
71,-0.001623036846,
72,-0.001427317697,
73,-0.00144163861,
74,-0.001518016815,
75,-0.001422544059,
76,-0.001642131397,
77,-0.001589621381,
78,-0.001627810484,
79,-0.001370034043,
80,-0.001575300468,
81,-0.00139867587,
82,-0.001599168657,
83,-0.001475054075,
84,-0.001594395019,
85,-0.00157052683,
86,-0.001465506799,
87,7.436420673,
88,10.28873131,
89,10.28553297,
90,10.28446845,
91,10.28327026,
92,10.28243488,
93,10.28214846,
94,10.28163768,
95,10.28113645,
96,10.2810553,
97,10.28083093,
98,10.28077365,
99,10.28047769,
100,10.28013876,
101,10.28005283,
102,10.27992872,
103,10.27970436,
104,10.27986189,
105,10.27979983,
106,10.2793702,
107,10.27945613,
108,10.27936543,
109,10.27945135,
110,10.2790981,
111,10.27913629,
112,10.2789549,
113,10.27885465,
114,10.27883555,
115,10.27913629,
116,10.27870667,
117,10.27895967,
118,10.27894535,
119,10.27859687,
120,10.27864938,
121,10.27870667,
122,10.2785014,
123,10.27853482,
124,10.27860642,
125,10.2783391,
126,10.27866848,
127,10.27838206,
128,10.27831045,
129,10.27812906,
130,10.27826749,
131,10.27812906,
132,10.27810519,
133,10.27815292,
134,10.27799062,
135,10.27817679,
136,10.27819589,
137,10.27803358,
138,10.27793811,
139,10.27814815,
140,10.27797153,
141,10.27783786,
142,10.27810041,
143,10.27771375,
144,10.27773762,
145,10.27765647,
146,10.27808609,
147,10.27794766,
148,10.27776149,
149,10.27758486,
150,10.2777949,
151,10.27762305,
152,10.27748939,
153,10.2778856,
154,10.27788083,
155,10.27762782,
156,10.27755622,
157,6.114796091,
158,1.518031136,
159,0.2400996595,
160,0.1522838189,
161,0.09657069233,
162,0.06137466096,
163,0.03927749167,
164,0.02514752384,
165,0.01642608761,
166,0.0108027423,
167,0.007007700264,
168,0.004601786822,
169,0.003045580905,
170,0.0021099479,
171,0.001231598548,
172,0.0009213120919,
173,0.0006969511162,
174,0.0003150600936,
175,0.0001193409446,
176,-0.0001957191491,
177,-0.0001718509602,
178,-0.0002386818891,
179,-0.0002530028025,
180,-0.0002673237158,
181,-0.000525100156,
182,-0.000262550078,
183,-0.0002530028025,
184,-0.0005107792427,
185,-0.0007160456673,
186,-0.0007924238718,
187,-0.0006110256361,
188,-0.0005680628961,
189,-0.0006301201872,
190,4.297610622,
191,10.28764769,
192,10.2842059,
193,10.28246829,
194,10.28158517,
195,10.28085958,
196,10.28068295,
197,10.28028197,
198,10.27966139,
199,10.27959934,
200,10.27940839,
201,10.27907901,
202,10.27897399,
203,10.27906946,
204,10.27863506,
205,10.27861597,
206,10.27856823,
207,10.27850617,
208,10.27849185,
209,10.27838206,
210,10.27832478,
211,10.27841547,
212,10.27810996,
213,10.27779013,
214,10.27801926,
215,10.27792856,
216,10.27781877,
217,10.27800971,
218,10.27780445,
219,10.27800494,
220,10.2777042,
221,10.27769465,
222,10.27760873,
223,10.27747984,
224,10.27785696,
225,10.27767556,
226,10.27769943,
227,10.27758963,
228,10.27741778,
229,10.25125825,
230,7.010173008,
231,4.40101239,
232,2.764986476,
233,1.738539786,
234,1.094389877,
235,0.6892655594,
236,0.4350741211,
237,0.2747180807,
238,0.1738702089,
239,0.1103139955,
240,0.07034909999,
241,0.04475762784,
242,0.02880890401,
243,0.01861718735,
244,0.01225870182,
245,0.007656915002,
246,0.005088697876,
247,0.003346320085,
248,0.002386818891,
249,0.001503695901,
250,0.001035879399,
251,0.0006778565651,
252,0.0002673237158,
253,0.0002482291647,
254,0.0002816446291,
255,-0.0002339082513,
256,-0.0002100400624,
257,-0.0003198337314,
258,-0.0002100400624,
259,-0.0003962119359,
260,-0.0005585156205,
261,5.66195449,
262,10.28673592,
263,10.28342779,
264,10.28211027,
265,10.28104097,
266,10.28037744,
267,10.28018172,
268,10.27988575,
269,10.27957069,
270,10.27942271,
271,10.27905992,
272,10.27882601,
273,10.27893103,
274,10.27888806,
275,10.27867802,
276,10.27828659,
277,10.27829136,
278,10.27838683,
279,10.27800494,
280,10.27808132,
281,10.27791424,
282,10.27792379,
283,10.278067,
284,10.27761828,
285,10.27772807,
286,10.27777103,
287,10.27755622,
288,10.2777233,
289,10.2778856,
290,10.27786651,
291,10.27725548,
292,10.27763737,
293,10.27726025,
294,10.27781877,
295,10.27746552,
296,10.2775419,
297,10.27748461,
298,10.2772889,
299,10.27755145,
300,7.525663832,
301,4.723753267,
302,2.967741967,
303,1.86545172,
304,1.174114402,
305,0.7393839824,
306,0.466374864,
307,0.2946718867,
308,0.1862864408,
309,0.118161856,
310,0.07530890965,
311,0.04813736339,
312,0.03086156826,
313,0.01986788045,
314,0.0129126902,
315,0.00858777437,
316,0.005637666221,
317,0.003728211108,
318,0.002491838922,
319,0.001556205917,
320,0.001164767619,
321,0.0008210656985,
322,0.0004582692271,
323,0.0004248537626,
324,-9.069911786e-05,
325,0.0001813982357,
326,-3.818910226e-05,
327,-0.0004534955893,
328,-0.000525100156,
329,-0.0003866646603,
330,-0.0004057592115,
331,-0.000591931085,
332,-0.000525100156,
333,-0.0004869110538,
334,-0.0005585156205,
335,-0.0005060056049,
336,-0.0008306129741,
337,-0.0006826302028,
338,-0.0003102864558,
339,-0.0006969511162,
340,-0.0005967047228,
341,-0.0007208193051,
342,-0.0007781029585,
343,-0.0007399138562,
344,-0.000701724754,
345,-0.0007160456673,
346,-0.0007160456673,
347,-0.0009595011942,
348,-0.001031105761,
349,-0.0006778565651,
350,-0.0009260857297,
351,-0.000744687494,
352,-0.0009499539186,
353,-0.001117031241,
354,-0.001174314894,
355,-0.0008449338874,
356,-0.001035879399,
357,-0.0009595011942,
358,-0.001102710328,
359,-0.00131275039,
360,-0.001040653036,
361,-0.0009165384542,
362,-0.001035879399,
363,-0.001207730359,
364,-0.0008926702653,
365,-0.0009022175408,
366,-0.0009022175408,
367,-0.001078842139,
368,-0.001155220343,
369,-0.0009595011942,
370,-0.001083615777,
371,-0.001088389414,
372,-0.00114089943,
373,-0.001164767619,
374,-0.001040653036,
375,-0.001131352154,
376,-0.001188635808,
377,-0.00118386217,
378,-0.001260240374,
379,-0.001093163052,
380,-0.001255466737,
381,-0.001217277634,
382,-0.00118386217,
383,-0.001217277634,
384,-0.00135571313,
385,-0.001384354957,
386,-0.001212503997,
387,-0.004682938664,
388,-0.000415306487,
389,-0.001078842139,
390,-0.002988297252,
391,-0.004005082099,
392,-0.004439483137,
393,-0.004840468711,
394,-0.004463351326,
395,-0.003923930257,
396,-0.002654142607,
397,-0.001646905035,
398,-0.000219587338,
399,0.0009785957453,
400,0.001460733161,
401,0.002114721537,
402,0.002100400624,
403,0.001460733161,
404,0.0006874038406,
405,-0.0007542347696,
406,-0.001852171459,
407,-0.003150600936,
408,-0.003880967517,
409,-0.004721127766,
410,-0.004783185058,
411,-0.004420388586,
412,-0.003484755581,
413,-0.002396366167,
414,-0.001159993981,
415,0.0003246073692,
416,0.001284108563,
417,0.001933323302,
418,0.001241145823,
419,0.0001909455113,
420,-0.001131352154,
421,-0.002405913442,
422,-0.003341546447,
423,-0.004281953091,
424,-0.00477841142,
425,-0.004659070475,
426,-0.004133970319,
427,-0.003265168243,
428,-0.001880813286,
429,0.0003246073692,
430,0.002028796057,
431,0.001904681475,
432,0.001632584121,
433,0.0001336618579,
434,-0.000897443903,
435,-0.002248383395,
436,-0.003417924652,
437,-0.004386973122,
438,-0.004826147798,
439,-0.004673391389,
440,-0.004344010382,
441,-0.003494302856,
442,-0.00249661256,
443,-0.0008592548008,
444,0,
445,0.00193809694,
446,0.001756698704,
447,0.0009499539186,
448,0.0009499539186,
449,-0.003618417439,
450,-0.004310594917,
451,-0.004797505971,
452,-0.004730675042,
453,-0.004167385784,
454,-0.003059901818,
455,-0.001923776026,
456,-0.0006396674628,
457,0.0006014783605,
458,0.001455959524,
459,0.001847397822,
460,0.001947644215,
461,0.001665999586,
462,-0.0004439483137,
463,-0.003389282825,
464,-0.004329689468,
465,-0.004897752364,
466,-0.004673391389,
467,-0.004234216713,
468,0,
469,0.0002768709914,
470,0.001379581319,
471,0.001985833317,
472,0.001985833317,
473,0.001718509602,
474,0.0009356330053,
